 2016-05-01 21:30:05,681 [P3692/D2/T114] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling DocumentType structure. DocumentType with alias 'SliderItem' could not be found and was not added to the structure for 'SlidersContainer'.
 2016-05-01 21:33:33,259 [P3692/D2/T114] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field startNodeId
 2016-05-01 21:33:46,700 [P3692/D2/T114] INFO  umbraco.content - Loading content from database...
 2016-05-01 21:33:50,749 [P3692/D2/T114] INFO  umbraco.content - Save Xml to file...
 2016-05-01 21:33:50,770 [P3692/D2/T114] INFO  umbraco.content - Saved Xml to file.
 2016-05-01 21:36:53,212 [P3692/D2/T97] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-05-01 21:36:53,212 [P3692/D2/T97] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-05-01 21:44:44,392 [P3692/D2/T129] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2016-05-01 21:44:44,392 [P3692/D2/T129] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2016-05-01 21:44:44,392 [P3692/D2/T129] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2016-05-01 21:44:44,392 [P3692/D2/T129] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2016-05-01 21:44:44,393 [P3692/D2/T129] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2016-05-01 21:44:44,393 [P3692/D2/T129] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2016-05-01 21:44:44,393 [P3692/D2/T129] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2016-05-01 21:44:44,393 [P3692/D2/T129] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2016-05-01 21:44:44,393 [P3692/D2/T129] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2016-05-01 21:44:44,393 [P3692/D2/T129] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2016-05-01 21:44:44,444 [P3692/D2/T132] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2016-05-01 21:44:44,444 [P3692/D2/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2016-05-01 21:44:44,444 [P3692/D2/T135] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2016-05-01 21:44:44,444 [P3692/D2/T134] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2016-05-01 21:44:44,444 [P3692/D2/T117] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2016-05-01 21:44:58,881 [P3692/D5/T120] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on DESKTOP-JK1B529
 2016-05-01 21:44:58,921 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-05-01 21:44:58,959 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Hash determined (took 38ms)
 2016-05-01 21:44:59,081 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-05-01 21:44:59,625 [P3692/D5/T120] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 543ms)
